edge probability,stability,morality,cycle length,generation count,seed
0.008,1.0,0.0,1,3,19561867
0.008,1.0,0.0,1,3,19561868
0.008,1.0,0.0,1,4,19561869
0.008,1.0,0.0,1,4,19561870
0.008,1.0,0.0,1,3,19561871
0.008,1.0,0.0,1,4,19561872
0.008,1.0,0.016,1,5,19561873
0.008,1.0,0.0,1,4,19561874
0.008,1.0,0.0,1,3,19561875
0.008,1.0,0.0,1,3,19561876
0.008,1.0,0.0,1,3,19561877
0.008,1.0,0.0,1,3,19561878
0.008,1.0,0.0,1,3,19561879
0.008,1.0,0.0,1,4,19561880
0.008,1.0,0.0,1,4,19561881
0.008,1.0,0.0,1,3,19561882
0.008,1.0,0.0,1,3,19561883
0.008,1.0,0.0,1,3,19561884
0.008,1.0,0.0,1,4,19561885
0.008,1.0,0.0,1,3,19561886
0.008,1.0,0.0,1,3,19561887
0.008,1.0,0.0,1,3,19561888
0.008,1.0,0.0,1,3,19561889
0.008,1.0,0.0,1,4,19561890
0.008,1.0,0.0,1,4,19561891
0.008,1.0,0.0,1,3,19561892
0.008,1.0,0.0,1,4,19561893
0.008,1.0,0.0,1,3,19561894
0.008,1.0,0.0,1,3,19561895
0.008,1.0,0.016,1,4,19561896
0.008,1.0,0.016,1,4,19561897
0.008,1.0,0.0,1,4,19561898
0.008,1.0,0.0,1,3,19561899
0.008,1.0,0.0,1,3,19561900
0.008,1.0,0.0,1,3,19561901
0.008,1.0,0.017,1,4,19561902
0.008,1.0,0.0,1,3,19561903
0.008,1.0,0.0,1,3,19561904
0.008,1.0,0.0,1,3,19561905
0.008,1.0,0.0,1,3,19561906
0.008,1.0,0.0,1,4,19561907
0.008,1.0,0.0,1,4,19561908
0.008,1.0,0.0,1,3,19561909
0.008,1.0,0.0,1,3,19561910
0.008,1.0,0.0,1,3,19561911
0.008,1.0,0.0,1,3,19561912
0.008,1.0,0.0,1,4,19561913
0.008,1.0,0.0,1,3,19561914
0.008,1.0,0.0,1,3,19561915
0.008,1.0,0.0,1,3,19561916
0.008,1.0,0.0,1,3,19561917
0.008,1.0,0.0,1,3,19561918
0.008,1.0,0.0,1,3,19561919
0.008,1.0,0.0,1,3,19561920
0.008,1.0,0.0,1,4,19561921
0.008,1.0,0.0,1,3,19561922
0.008,1.0,0.0,1,3,19561923
0.008,1.0,0.0,1,3,19561924
0.008,1.0,0.0,1,3,19561925
0.008,1.0,0.0,1,3,19561926
0.008,1.0,0.0,1,3,19561927
0.008,1.0,0.0,1,3,19561928
0.008,1.0,0.0,1,4,19561929
0.008,1.0,0.0,1,3,19561930
0.012,1.0,0.0,1,3,19561831
0.012,1.0,0.0,1,3,19561832
0.012,1.0,0.0,1,3,19561833
0.012,1.0,0.0,1,3,19561834
0.012,1.0,0.0,1,3,19561835
0.012,1.0,0.0,1,3,19561836
0.012,1.0,0.0,1,3,19561837
0.012,1.0,0.0,1,3,19561838
0.012,1.0,0.0,1,3,19561839
0.012,1.0,0.0,1,3,19561840
0.012,1.0,0.0,1,3,19561841
0.012,1.0,0.0,1,3,19561842
0.012,1.0,0.0,1,3,19561843
0.012,1.0,0.0,1,3,19561844
0.012,1.0,0.0,1,3,19561845
0.012,1.0,0.0,1,3,19561846
0.012,1.0,0.0,1,3,19561847
0.012,1.0,0.0,1,3,19561848
0.012,1.0,0.0,1,3,19561849
0.012,1.0,0.0,1,3,19561850
0.012,1.0,0.0,1,3,19561851
0.012,1.0,0.0,1,3,19561852
0.012,1.0,0.0,1,3,19561853
0.012,1.0,0.0,1,3,19561854
0.012,1.0,0.0,1,3,19561855
0.012,1.0,0.0,1,2,19561856
0.012,1.0,0.0,1,3,19561857
0.012,1.0,0.0,1,3,19561858
0.012,1.0,0.0,1,3,19561859
0.012,1.0,0.0,1,3,19561860
0.012,1.0,0.0,1,3,19561861
0.012,1.0,0.0,1,3,19561862
0.012,1.0,0.0,1,2,19561863
0.012,1.0,0.0,1,3,19561864
0.012,1.0,0.0,1,3,19561865
0.012,1.0,0.0,1,3,19561866
0.012,1.0,0.0,1,3,19561867
0.012,1.0,0.0,1,3,19561868
0.012,1.0,0.0,1,3,19561869
0.012,1.0,0.0,1,3,19561870
0.012,1.0,0.0,1,3,19561871
0.012,1.0,0.0,1,3,19561872
0.012,1.0,0.0,1,3,19561873
0.012,1.0,0.0,1,3,19561874
0.012,1.0,0.0,1,3,19561875
0.012,1.0,0.0,1,3,19561876
0.012,1.0,0.0,1,3,19561877
0.012,1.0,0.0,1,3,19561878
0.012,1.0,0.0,1,3,19561879
0.012,1.0,0.0,1,3,19561880
0.012,1.0,0.0,1,3,19561881
0.012,1.0,0.0,1,3,19561882
0.012,1.0,0.0,1,3,19561883
0.012,1.0,0.0,1,3,19561884
0.012,1.0,0.0,1,3,19561885
0.012,1.0,0.0,1,3,19561886
0.012,1.0,0.0,1,3,19561887
0.012,1.0,0.0,1,3,19561888
0.012,1.0,0.0,1,3,19561889
0.012,1.0,0.0,1,3,19561890
0.012,1.0,0.0,1,3,19561891
0.012,1.0,0.0,1,3,19561892
0.012,1.0,0.024,1,4,19561893
0.012,1.0,0.0,1,2,19561894
0.012,1.0,0.0,1,3,19561895
0.012,1.0,0.0,1,3,19561896
0.012,1.0,0.0,1,3,19561897
0.012,1.0,0.0,1,3,19561898
0.012,1.0,0.0,1,3,19561899
0.012,1.0,0.024,1,3,19561900
0.012,1.0,0.0,1,3,19561901
0.012,1.0,0.0,1,3,19561902
0.012,1.0,0.0,1,3,19561903
0.012,1.0,0.0,1,3,19561904
0.012,1.0,0.0,1,3,19561905
0.012,1.0,0.0,1,3,19561906
0.012,1.0,0.0,1,3,19561907
0.012,1.0,0.0,1,3,19561908
0.012,1.0,0.0,1,3,19561909
0.012,1.0,0.0,1,2,19561910
0.012,1.0,0.0,1,3,19561911
0.012,1.0,0.0,1,3,19561912
0.012,1.0,0.0,1,3,19561913
0.012,1.0,0.0,1,3,19561914
0.012,1.0,0.0,1,3,19561915
0.012,1.0,0.0,1,3,19561916
0.012,1.0,0.0,1,3,19561917
0.012,1.0,0.0,1,3,19561918
0.012,1.0,0.0,1,3,19561919
0.012,1.0,0.0,1,3,19561920
0.012,1.0,0.0,1,3,19561921
0.012,1.0,0.0,1,3,19561922
0.012,1.0,0.0,1,3,19561923
0.012,1.0,0.0,1,3,19561924
0.012,1.0,0.0,1,3,19561925
0.012,1.0,0.0,1,3,19561926
0.012,1.0,0.0,1,3,19561927
0.012,1.0,0.0,1,3,19561928
0.012,1.0,0.0,1,3,19561929
0.012,1.0,0.0,1,3,19561930
