neighborhood,stability,morality,cycle length,generation count,seed
3,1.0,0.0,1,3,19561886
3,1.0,0.0,1,5,19561887
3,1.0,0.0,1,3,19561888
3,1.0,0.0,1,3,19561889
3,1.0,0.0,1,3,19561890
3,1.0,0.0,1,3,19561891
3,1.0,0.0,1,3,19561892
3,1.0,0.0,1,3,19561893
3,1.0,0.0,1,3,19561894
3,1.0,0.0,1,3,19561895
3,1.0,0.0,1,3,19561896
3,1.0,0.0,1,3,19561897
3,1.0,0.0,1,3,19561898
3,1.0,0.0,1,3,19561899
3,1.0,0.0,1,2,19561900
3,1.0,0.0,1,3,19561901
3,1.0,0.0,1,3,19561902
3,1.0,0.0,1,2,19561903
3,1.0,0.0,1,3,19561904
3,1.0,0.0,1,3,19561905
3,1.0,0.0,1,3,19561906
3,1.0,0.0,1,3,19561907
3,1.0,0.0,1,4,19561908
3,1.0,0.0,1,3,19561909
3,1.0,0.0,1,3,19561910
3,1.0,0.0,1,3,19561911
3,1.0,0.0,1,3,19561912
3,1.0,0.0,1,3,19561913
3,1.0,0.0,1,3,19561914
3,1.0,0.0,1,3,19561915
3,1.0,0.0,1,3,19561916
3,1.0,0.0,1,3,19561917
3,1.0,0.0,1,3,19561918
3,1.0,0.0,1,3,19561919
3,1.0,0.0,1,3,19561920
3,1.0,0.0,1,3,19561921
3,1.0,0.0,1,3,19561922
3,1.0,0.0,1,3,19561923
3,1.0,0.0,1,3,19561924
3,1.0,0.0,1,2,19561925
3,1.0,0.0,1,3,19561926
3,1.0,0.0,1,3,19561927
3,1.0,0.0,1,5,19561928
3,1.0,0.0,1,4,19561929
3,1.0,0.0,1,3,19561930
4,1.0,0.0,1,3,19561831
4,1.0,0.0,1,3,19561832
4,1.0,0.0,1,3,19561833
4,1.0,0.0,1,2,19561834
4,1.0,0.0,1,2,19561835
4,1.0,0.0,1,2,19561836
4,1.0,0.0,1,3,19561837
4,1.0,0.0,1,3,19561838
4,1.0,0.0,1,3,19561839
4,1.0,0.0,1,2,19561840
4,1.0,0.0,1,3,19561841
4,1.0,0.0,1,2,19561842
4,1.0,0.0,1,3,19561843
4,1.0,0.0,1,3,19561844
4,1.0,0.0,1,2,19561845
4,1.0,0.0,1,3,19561846
4,1.0,0.0,1,3,19561847
4,1.0,0.0,1,3,19561848
4,1.0,0.0,1,3,19561849
4,1.0,0.0,1,3,19561850
4,1.0,0.0,1,3,19561851
4,1.0,0.0,1,3,19561852
4,1.0,0.0,1,3,19561853
4,1.0,0.0,1,3,19561854
4,1.0,0.0,1,3,19561855
4,1.0,0.0,1,3,19561856
4,1.0,0.0,1,3,19561857
4,1.0,0.0,1,3,19561858
4,1.0,0.0,1,2,19561859
4,1.0,0.0,1,3,19561860
4,1.0,0.0,1,2,19561861
4,1.0,0.0,1,3,19561862
4,1.0,0.0,1,3,19561863
4,1.0,0.0,1,3,19561864
4,1.0,0.0,1,3,19561865
4,1.0,0.0,1,2,19561866
4,1.0,0.0,1,2,19561867
4,1.0,0.0,1,2,19561868
4,1.0,0.0,1,3,19561869
4,1.0,0.0,1,2,19561870
4,1.0,0.0,1,2,19561871
4,1.0,0.0,1,3,19561872
4,1.0,0.0,1,2,19561873
4,1.0,0.0,1,3,19561874
4,1.0,0.0,1,3,19561875
4,1.0,0.0,1,3,19561876
4,1.0,0.0,1,2,19561877
4,1.0,0.0,1,3,19561878
4,1.0,0.0,1,2,19561879
4,1.0,0.0,1,3,19561880
4,1.0,0.0,1,3,19561881
4,1.0,0.0,1,2,19561882
4,1.0,0.0,1,2,19561883
4,1.0,0.0,1,3,19561884
4,1.0,0.0,1,3,19561885
4,1.0,0.0,1,2,19561886
4,1.0,0.0,1,3,19561887
4,1.0,0.0,1,2,19561888
4,1.0,0.0,1,3,19561889
4,1.0,0.0,1,2,19561890
4,1.0,0.0,1,2,19561891
4,1.0,0.0,1,2,19561892
4,1.0,0.0,1,3,19561893
4,1.0,0.0,1,2,19561894
4,1.0,0.0,1,3,19561895
4,1.0,0.0,1,3,19561896
4,1.0,0.0,1,2,19561897
4,1.0,0.0,1,3,19561898
4,1.0,0.0,1,2,19561899
4,1.0,0.0,1,2,19561900
4,1.0,0.0,1,3,19561901
4,1.0,0.0,1,3,19561902
4,1.0,0.0,1,2,19561903
4,1.0,0.0,1,2,19561904
4,1.0,0.0,1,2,19561905
4,1.0,0.0,1,3,19561906
4,1.0,0.0,1,3,19561907
4,1.0,0.0,1,3,19561908
4,1.0,0.0,1,3,19561909
4,1.0,0.0,1,3,19561910
4,1.0,0.0,1,3,19561911
4,1.0,0.0,1,2,19561912
4,1.0,0.0,1,2,19561913
4,1.0,0.0,1,3,19561914
4,1.0,0.0,1,3,19561915
4,1.0,0.0,1,2,19561916
4,1.0,0.0,1,2,19561917
4,1.0,0.0,1,3,19561918
4,1.0,0.0,1,2,19561919
4,1.0,0.0,1,2,19561920
4,1.0,0.0,1,3,19561921
4,1.0,0.0,1,3,19561922
4,1.0,0.0,1,2,19561923
4,1.0,0.0,1,3,19561924
4,1.0,0.0,1,2,19561925
4,1.0,0.0,1,3,19561926
4,1.0,0.0,1,3,19561927
4,1.0,0.0,1,4,19561928
4,1.0,0.0,1,3,19561929
4,1.0,0.0,1,2,19561930
